year,head_no,programme_no,programme_name,actual,original,revised,estimate
2006,95,3,Heritage and Museums,479.2,591.4,547.2,578.9
2006,95,4,Performing Arts,961.2,984.5,963.7,964.2
2006,95,5,Public Libraries,652.7,701.7,680.4,686.7
2006,95,0,total,4867.6,4983.4,4960.5,5027.1
2006,96,1,Commercial Relations,107.5,129.9,116.4,141.7
2006,96,2,Public Relations,78.5,95.7,85.9,105.0
2008,92,1,Prosecutions,340.0,387.3,355.2,389.1
2006,96,3,Investment Promotion,38.5,45.9,40.4,50.1
2006,96,0,total,224.5,271.5,242.7,296.8
2006,100,1,Infrastructure,35.2,41.8,38.9,40.1
2006,100,2,Port Services,301.1,324.9,294.3,318.4
2006,100,3,Local Services,89.5,97.4,91.4,94.0
2006,100,4,Services to Ships,57.4,59.0,58.9,61.5
2006,100,5,Government Fleet,399.7,386.4,375.7,383.4
2006,100,0,total,882.9,909.5,859.2,897.4
2006,112,1,Remuneration and Reimbursements for Members,124.6,123.1,122.5,123.4
2006,112,2,General and Secretariat Services,160.9,156.4,151.3,161.7
2006,112,3,Legal Service,25.3,22.5,23.2,23.2
2006,112,4,Redress System,16.8,15.2,15.1,15.3
2006,112,5,Research and Library Services,23.8,21.7,22.5,23.0
2006,112,0,total,351.4,338.9,334.6,346.6
2006,114,1,Complaints Administration,87.0,81.4,81.4,81.3
2006,114,0,total,87.0,81.4,81.4,81.3
2006,116,1,Official Receiver’s Office,116.8,130.3,112.8,131.0
2006,116,0,total,116.8,130.3,112.8,131.0
2006,118,1,Territorial Planning,61.2,72.8,70.8,87.1
2006,118,2,District Planning,254.5,249.0,246.3,250.0
2006,118,3,Ordinance Review,3.6,3.0,3.1,3.5
2006,118,4,Town Planning Information Services,16.6,18.3,16.9,16.7
2006,118,5,Technical Services,83.5,72.2,64.8,68.9
2006,118,0,total,419.4,415.3,401.9,426.2
2006,120,1,Public and Judicial Service Pension Benefits,15656.3,14562.7,13107.0,14130.6
2006,120,2,War Memorial Pensions/Volunteer Pensions,44.4,45.2,42.3,42.3
2006,120,0,total,15700.7,14607.9,13149.3,14172.9
2006,121,1,Police Complaints Administration,13.0,13.3,13.3,12.7
2006,121,0,total,13.0,13.3,13.3,12.7
2006,122,1,Maintenance of Law and Order in the Community,5351.6,5480.8,5288.5,5424.5
2006,122,2,Prevention and Detection of Crime,2614.1,2271.7,2306.6,2346.4
2006,122,3,Road Safety,931.1,1134.0,1105.1,1122.7
2006,122,4,Operations,2229.9,2166.5,2215.5,2259.2
2006,122,0,total,11126.7,11053.0,10915.7,11152.8
2006,136,1,Public Service Commission,17.7,17.4,16.7,15.5
2006,136,0,total,17.7,17.4,16.7,15.5
2006,138,1,Director of Bureau’s Office,6.0,6.0,6.0,6.0
2006,138,2,"Buildings, Lands and Planning",79.1,84.5,82.3,86.4
2006,138,0,total,85.1,90.5,88.3,92.4
2006,142,6,Hong Kong Guangdong Cooperation Coordination Unit,5.7,7.7,7.6,
2006,142,1,Efficiency Unit,89.6,134.3,114.5,130.6
2006,142,2,Government Records Service,32.8,31.0,30.9,29.3
2006,142,3,CSO-Administration Wing,234.1,279.6,281.5,338.6
2006,142,4,Protocol Division,34.0,42.2,41.7,41.1
2006,142,5,"Subvention: Duty Lawyer Service, Legal Aid Services Council",90.1,96.6,96.4,96.6
2006,142,0,total,486.3,591.4,572.6,636.2
2006,143,1,Director of Bureau’s Office,5.6,5.6,5.6,5.6
2006,143,2,Human Resource Management,187.4,180.5,182.9,182.3
2006,143,3,Translation and Interpretation Services and Use of Official Languages,101.3,102.9,98.5,99.6
2006,143,4,Civil Service Training and Development,90.7,109.7,89.5,99.2
2006,143,0,total,385.0,398.7,376.5,386.7
2006,144,1,Director of Bureau’s Office,5.0,5.0,5.0,5.0
2006,144,2,Constitutional Affairs,37.8,42.6,41.2,47.3
2006,144,3,Mainland Economic and Trade Offices,15.4,19.2,18.9,83.4
2006,144,0,total,58.2,66.8,65.1,135.7
2006,145,1,Director of Bureau’s Office,6.0,5.9,6.3,6.3
2006,145,2,Air and Sea Communications and Logistics Development,35.6,33.7,43.6,41.5
2006,145,3,"Posts, Power, Competition Policy and Consumer Protection",16.0,15.3,20.5,15.6
2008,92,2,Civil,326.0,341.4,344.9,370.5
2006,145,4,Public Safety,1.1,1.0,1.3,1.2
2006,145,5,Travel and Tourism,55.6,52.1,64.9,61.4
2006,145,6,Subvention: Consumer Council,65.3,62.5,62.5,63.3
2006,145,7,Subvention: Hong Kong Tourism Board,543.7,727.3,682.5,739.3
2006,145,0,total,723.3,897.8,881.6,928.6
2006,147,1,Director of Bureau’s Office,6.6,6.5,6.5,6.6
2006,147,2,Revenue and Financial Control,109.5,146.0,108.6,134.7
2006,147,3,Service Departments,44.2,43.7,43.5,43.7
2006,147,0,total,160.3,196.2,158.6,185.0
2006,148,1,Financial Services,103.3,121.8,109.6,126.4
2006,148,0,total,103.3,121.8,109.6,126.4
2006,149,1,Director of Bureau’s Office,6.0,5.8,5.8,5.9
2006,149,2,Social Welfare,50.8,67.0,60.1,85.2
2006,149,3,Health,151.2,132.1,115.2,174.7
2006,149,4,Women’s Interests,10.4,16.3,16.9,19.8
2006,149,5,"Agriculture, Fisheries and Food Safety",11.3,9.8,10.3,13.3
2006,149,6,Environmental Hygiene,9.3,8.9,10.2,11.5
2006,149,7,Subvention: Skills centres,97.0,100.3,95.3,86.2
2006,149,8,Subvention: Guardianship Board and Environmental Advisory Service,4.6,5.7,5.5,5.1
2006,149,9,Subvention: Hospital Authority,28217.5,27272.3,27541.4,27761.1
2006,149,10,Subvention: Prince Philip Dental Hospital,112.6,110.6,108.6,109.8
2006,149,0,total,28670.7,27728.8,27969.3,28272.6
2006,151,1,Director of Bureau’s Office,5.7,5.6,5.6,5.6
2006,151,2,Internal Security,85.9,92.3,90.2,92.7
2006,151,3,Immigration Control,21.6,25.5,24.8,25.8
2006,151,0,total,113.2,123.4,120.6,124.1
2006,152,1,Director of Bureau’s Office,6.7,6.6,6.6,6.6
2006,160,3,School Educational Television Production,36.5,37.6,37.6,35.4
2006,160,4,New Media,10.9,10.3,10.3,10.7
2006,160,0,total,448.9,428.5,428.5,438.9
2008,100,5,Government Fleet,373.4,383.4,378.1,390.1
2006,152,2,Commerce and Industry,111.6,150.2,126.5,149.5
2006,152,3,Subvention: Hong Kong Trade Development Council,354.7,341.2,341.2,341.2
2006,152,0,total,473.0,498.0,474.3,497.3
2006,155,1,Support for Research and Development,20.3,23.7,24.5,22.2
2006,155,2,Fostering University-Industry Collaboration,6.4,6.6,7.1,6.8
2006,155,3,Promotion of Technological Entrepreneurship,6.7,7.2,7.4,8.5
2006,155,4,Planning for Innovation and Technology Development,21.4,34.6,33.9,25.3
2006,155,5,Infrastructural Support,27.4,61.9,37.7,53.7
2006,155,6,Quality Support,55.5,51.8,50.8,52.1
2006,155,7,"Subvention: Hong Kong Productivity Council, Hong Kong Applied Science and Technology Research Institute Company Limited",278.8,267.9,267.8,294.7
2006,155,0,total,416.5,453.7,429.2,463.3
2006,156,1,Director of Bureau’s Office,6.8,6.9,7.8,7.2
2006,156,2,Primary Education,10320.8,11230.8,10365.8,10630.8
2006,156,3,Secondary Education,15578.8,16663.9,16519.4,16964.6
2006,156,4,Special Education,1278.7,1292.1,1230.9,1279.2
2006,156,5,Other Educational Services and Subventions,880.3,1082.2,950.9,1025.8
2006,156,6,Manpower Development,106.4,133.9,115.2,125.4
2006,156,7,Vocational Education and Training,2172.0,2117.8,2124.3,2026.9
2006,156,8,Policy and Support,2211.2,1435.8,1980.8,2150.9
2006,156,0,total,32555.0,33963.4,33295.1,34210.8
2006,158,1,Transport,66.8,72.0,72.1,71.7
2006,158,0,total,66.8,72.0,72.1,71.7
2006,159,1,Director of Bureau’s Office,7.5,8.1,8.0,8.0
2006,159,2,Water Supply,12.9,13.5,12.4,13.3
2006,159,3,Intra-Governmental Services,164.6,176.9,165.4,173.2
2006,159,0,total,185.0,198.5,185.8,194.5
2006,160,1,Radio,182.9,182.3,181.6,184.6
2006,160,2,Public Affairs Television,218.6,198.3,199.0,208.2
2007,31,0,total,1801.6,1975.4,1856.6,2127.4
2008,100,0,total,852.1,896.8,882.5,919.0
2008,162,0,total,347.4,361.4,365.1,386.3
2006,162,1,Statutory Valuation and Assessments,236.7,226.5,220.0,227.0
2006,162,2,Collection and Billing of Rates and Government Rent,41.9,39.4,40.4,39.7
2006,162,3,Provision of Valuation and Property Information Services,73.1,69.9,68.3,70.6
2006,162,4,Landlord and Tenant Services for Domestic Premises,24.1,26.0,25.3,25.6
2006,162,0,total,375.8,361.8,354.0,362.9
2006,163,1,Electoral Services,269.3,73.8,70.0,174.1
2006,163,0,total,269.3,73.8,70.0,174.1
2006,166,1,Government Flying Service,189.1,229.8,222.8,212.3
2006,166,0,total,189.1,229.8,222.8,212.3
2006,168,1,Weather Services,164.3,164.9,163.3,166.2
2006,168,2,Radiation Monitoring and Assessment,21.4,22.4,21.7,22.5
2006,168,3,Time Standard and Geophysical Services,8.1,8.7,8.7,8.7
2006,168,0,total,193.8,196.0,193.7,197.4
2006,170,1,Family and Child Welfare,1307.2,1307.9,1289.0,1330.2
2006,170,2,Social Security,23530.4,24757.4,23858.7,25210.2
2006,170,3,Services for Elders,3129.5,3354.9,3173.2,3315.9
2006,170,4,Rehabilitation and Medical Social Services,2462.5,2621.2,2526.4,2726.8
2006,170,5,Services for Offenders,273.4,276.5,272.3,276.0
2006,170,6,Community Development,141.6,126.4,134.8,133.9
2006,170,7,Young People,1249.9,1173.3,1270.5,1285.0
2006,170,0,total,32094.5,33617.6,32524.9,34278.0
2006,173,1,Student Assistance Scheme,3219.1,4072.2,3470.5,3850.3
2006,173,0,total,3219.1,4072.2,3470.5,3850.3
2006,174,1,Secretariat services for the following advisory bodies on civil service and judicial salaries and conditions of service— • Standing Commission on Civil Service Salaries and Conditions of Service • Standing Committee on Disciplined Services Salaries and Conditions of Service • Standing Committee on Directorate Salaries and Conditions of Service • Standing Committee on Judicial,9.8,9.5,10.5,8.7
2006,174,0,total,9.8,9.5,10.5,8.7
2006,180,1,Broadcast Monitoring and Regulation,28.5,30.4,29.1,31.1
2006,180,2,Film Services,11.6,14.7,21.7,24.3
2006,180,3,Film Classification and Control of Obscene and Indecent Articles,31.8,32.0,29.3,30.5
2006,180,4,Entertainment Licensing,11.0,10.4,10.4,10.4
2006,180,0,total,82.9,87.5,90.5,96.3
2006,181,1,Commercial Relations,78.8,255.3,323.5,89.1
2008,112,1,Remuneration and Reimbursements for Members,125.0,130.2,130.1,142.4
2006,181,2,Trade Support and Facilitation,164.5,147.6,118.1,128.6
2006,181,3,Support for Small and Medium Enterprises and Industries,354.1,274.0,414.9,472.0
2006,181,0,total,597.4,676.9,856.5,689.7
2006,186,1,Planning and Development,178.9,203.5,187.3,202.1
2006,186,2,Licensing of Vehicles and Drivers,185.4,202.5,192.8,206.1
2006,186,3,District Traffic and Transport Services,334.2,358.7,350.1,354.9
2006,186,4,Management of Transport Services .,80.2,62.4,70.4,84.3
2006,186,5,Transport Services for People with Disabilities,34.0,27.2,33.1,35.3
2006,186,0,total,812.7,854.3,833.7,882.7
2006,188,1,"Central Accounting, Collections and Payments",108.1,108.9,112.8,116.9
2006,188,2,"Payment of Salaries, Pensions and Benefits",98.2,96.5,96.8,97.3
2006,188,3,Accounting and Financial Information Systems,91.6,120.1,96.5,114.2
2006,188,4,Management of Funds,4.2,4.6,5.2,4.6
2006,188,0,total,302.1,330.1,311.3,333.0
2006,190,1,University Grants Committee,12043.5,11407.0,12392.7,11320.1
2006,190,0,total,12043.5,11407.0,12392.7,11320.1
2006,194,1,Water Supply: Planning and Distribution,4738.7,4632.5,4631.3,4626.9
2006,194,2,Water Quality Control,127.0,140.6,134.1,131.1
2006,194,3,Customer Services,346.2,348.3,353.7,358.9
2006,194,0,total,5211.9,5121.4,5119.1,5116.9
2007,21,1,Chief Executive’s Office,48.1,55.5,53.7,57.5
2007,21,2,Executive Council,13.2,16.8,16.9,17.1
2007,21,0,total,61.3,72.3,70.6,74.6
2007,22,1,"Agriculture, Fisheries and Fresh Food Wholesale Markets",183.3,376.1,238.1,358.3
2007,22,2,Nature Conservation and Country Parks,392.6,415.2,406.5,418.8
2007,22,3,"Animal, Plant and Fisheries Regulation and Technical Services",166.7,165.0,476.8,662.3
2007,22,0,total,742.6,956.3,1121.4,1439.4
2007,23,1,Auxiliary Medical Service,59.8,59.0,58.9,59.2
2007,23,0,total,59.8,59.0,58.9,59.2
2007,24,1,Regularity Audit,36.5,34.0,32.6,33.3
2007,53,6,"Recreation, Sport and Entertainment Licensing",38.5,37.9,84.1,100.9
2007,24,2,Value for Money Audit,74.3,81.9,78.2,79.8
2007,24,0,total,110.8,115.9,110.8,113.1
2007,25,1,Monitoring and Advisory Services,171.7,169.4,168.3,172.1
2007,25,2,Facilities Upkeep,708.2,704.5,704.5,703.1
2007,25,3,Facilities Development,488.5,475.7,474.0,485.9
2007,25,0,total,1368.4,1349.6,1346.8,1361.1
2007,26,1,Trade Statistics,120.0,144.6,117.0,144.8
2007,26,2,Social Statistics,70.1,128.9,130.3,64.1
2007,26,3,National Accounts and Balance of Payments Statistics,67.9,68.8,65.8,68.7
2007,26,4,General Statistical Services,22.6,23.3,22.1,22.5
2007,26,5,Price/Industry/Service Statistics,112.7,107.8,105.1,110.1
2007,26,6,Labour Statistics,57.2,56.2,57.8,65.0
2007,26,0,total,450.5,529.6,498.1,475.2
2007,27,1,Civil Aid Service,72.9,72.5,70.6,73.7
2007,27,0,total,72.9,72.5,70.6,73.7
2007,28,1,Flight Standards,54.7,55.8,55.7,61.8
2007,28,2,Airport Standards,31.2,32.6,32.2,32.2
2007,28,3,Air Traffic Management,280.0,295.3,284.7,294.8
2007,28,4,Engineering and Systems,247.1,229.0,187.4,212.0
2007,28,5,Air Services,22.3,21.8,22.1,24.1
2007,28,6,Air Passenger Departure Tax Administration,1.5,1.5,1.5,1.5
2007,28,0,total,636.8,636.0,583.6,626.4
2007,30,1,Prison Management,1920.2,1914.0,1918.6,1954.8
2007,30,2,Re-integration,456.5,465.7,446.1,460.8
2007,30,0,total,2376.7,2379.7,2364.7,2415.6
2007,31,1,Control and Enforcement,1125.7,1291.2,1187.0,1452.5
2007,31,2,Anti-narcotics Investigation,124.5,123.4,122.2,120.6
2007,31,3,Intellectual Property Rights and Consumer Protection,222.6,219.2,218.6,218.2
2007,31,4,Revenue Protection and Collection,121.3,124.3,121.7,121.0
2007,31,5,Trade Controls,207.5,217.3,207.1,215.1
2007,33,1,Tourism and Recreational Development,36.6,36.8,36.0,36.2
2007,33,2,Port and Marine Facilities,167.2,168.7,168.9,169.9
2007,33,3,Provision of Land and Infrastructure,258.1,262.7,260.6,265.6
2007,33,4,Slope Safety and Geotechnical Standards,254.5,267.9,260.8,263.3
2007,33,5,Greening and Technical Services,87.1,92.8,90.6,88.4
2007,33,6,"Supervision of Mining, Quarrying and Explosives",41.3,43.4,43.1,43.1
2007,33,7,Management of Construction and Demolition Materials,136.0,393.8,169.7,413.4
2007,33,8,Advice on Development Proposals,26.5,26.7,26.4,26.5
2007,33,0,total,1007.3,1292.8,1056.1,1306.4
2007,35,1,"Liaison, Economic and Trade, and Investment Promotion Affairs",25.9,34.2,29.5,39.5
2007,35,2,HKSAR Immigration-related Matters,10.4,13.2,12.5,13.5
2007,35,0,total,36.3,47.4,42.0,53.0
2007,37,1,Statutory Functions,253.5,241.5,270.7,308.0
2007,37,2,Disease Prevention,1212.0,1374.4,1271.1,1297.6
2007,37,3,Health Promotion,212.2,221.8,219.5,223.6
2007,37,4,Curative Care,522.2,529.5,516.7,531.9
2007,37,5,Rehabilitation,75.5,71.9,71.0,71.1
2007,37,6,Treatment of Drug Abusers,110.4,120.2,118.3,120.1
