"總目","綱領編號","綱領","機構","2013-14
(實際)
(百萬元)","2014-15
(原來預算)
(百萬元)","2014-15
(修訂)
(百萬元)","2015-16
(預算)
(百萬元)"
"140",2,"資助金：醫院管理局","",46315.6,47973.0,49706.8,49876.0
"140",3,"資助金：菲臘牙科醫院","",152.2,148.4,152.9,153.0
"141",1,"局長辦公室","",9.0,12.2,11.1,12.1
"141",2,"社會福利","",342.5,374.7,371.7,412.6
"141",3,"婦女權益","",25.5,29.6,28.8,32.2
"141",4,"人力發展","",15032.7,31.1,30.5,34.6
"141",5,"資助金 : 展亮技能發展中心","",97.0,98.7,101.5,100.5
"141",6,"資助金 : 監護委員會及生活環境輔導服務","",6.3,7.3,7.4,7.0
"141",7,"資助金 : 職業訓練局（職業培訓）","",200.1,200.1,206.4,202.7
"142",1,"效率促進組","",167.6,221.5,208.4,221.1
"142",2,"政府檔案處","",45.4,57.3,54.6,58.7
"142",3,"政務司司長辦公室－行政署","",448.4,509.8,476.8,527.8
"142",4,"禮賓處","",39.7,45.2,44.4,45.6
"143",1,"局長辦公室","",6.5,6.5,6.7,6.7
"143",2,"人力資源管理","",234.7,255.6,262.2,275.8
"143",3,"翻譯和傳譯服務及法定語文的使用","",121.2,126.9,127.4,135.8
"143",4,"公務員培訓","",122.0,132.4,130.7,138.7
"144",1,"局長辦公室","",9.9,9.7,9.9,10.2
"144",2,"政制及內地事務","",104.5,128.6,117.8,112.2
"144",3,"內地及台灣辦事處","",204.9,251.6,241.3,257.9
"144",4,"個人權利","",19.4,23.2,28.3,24.7
"144",5,"資助金：平等機會委員會及個人資料私隱專員公署","個人資料私隱專員公署",64.6,68.4,73.9,70.5
"144",5,"資助金：平等機會委員會及個人資料私隱專員公署","平等機會委員會",94.2,101.4,106.0,105.1
"147",1,"局長辦公室","",12.5,12.7,13.0,13.2
"147",2,"政府收入及財政管理","",136.9,136.0,140.3,143.7
"147",3,"服務部門","",57.1,58.6,60.4,61.3
"148",1,"財經事務","",231.0,312.9,235.6,229.8
"151",1,"局長辦公室","",12.4,12.4,12.6,12.6
"151",2,"內部保安","",133.3,144.5,144.5,148.8
"151",3,"出入境管制","",131.0,168.3,158.0,194.7
"152",1,"局長辦公室","",9.9,11.2,11.5,11.9
"152",2,"工商業","",152.6,180.4,180.2,244.2
"152",3,"資助金：香港貿易發展局","",389.5,393.4,393.4,393.4
"152",4,"郵政、競爭政策及保障消費者權益","",19.8,8.8,10.9,9.0
"152",5,"資助金：消費者委員會","",91.8,102.9,107.2,108.3
"152",6,"旅遊","",158.7,208.2,208.8,238.1
"152",7,"資助金：香港旅遊發展局","",570.2,655.7,667.9,747.9
"152",8,"公眾安全","",0.5,0.5,0.5,0.5
"152",9,"資助金︰競爭事務委員會","",87.7,83.9,86.4,75.9
"155",1,"支援研究及發展","",66.9,89.4,87.0,109.0
"155",2,"鼓勵大學與產業合作","",7.6,7.2,6.9,6.6
"155",3,"推動科技創業活動","",6.9,7.2,9.0,10.4
"155",4,"規劃創新及科技發展","",34.2,39.8,38.7,39.1
"155",5,"基礎設施支援","",12.1,12.3,11.7,12.1
"155",6,"品質支援","",101.4,102.4,108.7,108.7
"155",7,"資助金：香港生產力促進局，香港應用科技研究院有限公司","香港應用科技研究院有限公司",134.5,141.5,141.5,141.5
"155",7,"資助金：香港生產力促進局，香港應用科技研究院有限公司","香港生產力促進局",187.4,187.4,192.9,192.9
"156",1,"局長辦公室","",11.4,11.5,11.7,11.7
"156",2,"小學教育","政府機構",940.2,1018.2,1025.1,1096.4
"156",2,"小學教育","資助類別小學",12205.6,13235.9,13401.1,14097.1
"156",3,"中學教育","受資助機構",21021.2,21697.7,22302.7,22527.1
"156",3,"中學教育","政府機構",1396.0,1451.5,1455.2,1516.9
"156",4,"特殊教育","",1822.5,2035.7,2009.3,2186.0
"156",5,"其他教育服務及資助","",3472.1,3799.5,3717.0,4361.1
"156",6,"職業教育","",2081.8,2084.6,2182.1,2228.1
"156",7,"政策及支援","",6780.7,2034.9,1982.1,3358.3
"158",1,"局長辦公室","",13.3,12.3,13.5,13.8
"158",2,"陸路及水上交通","",76.4,79.4,79.2,89.0
"158",3,"海空交通及物流發展","",90.3,108.4,106.5,120.5
"159",1,"水務","",10.3,10.6,9.6,10.3
"159",2,"文物保育","",54.1,54.4,48.4,52.5
"159",3,"綠化、園境及樹木管理","",49.1,46.2,45.1,48.4
"159",4,"起動九龍東","",27.6,30.9,28.9,31.0
"159",5,"政府內部服務","",255.7,305.9,290.4,274.2
"160",1,"電台","",299.5,323.0,342.4,347.5
"160",2,"公共事務及綜合電視節目","",361.5,392.2,372.4,414.3
"160",3,"學校教育電視節目","",30.9,30.7,30.8,31.8
"160",4,"新媒體","",31.3,38.6,32.7,29.5
"162",1,"法定估價及評估","",299.3,315.2,310.6,326.2
"162",2,"差餉與地租的徵收及發單","",55.2,57.2,60.7,63.2
"162",3,"提供估價及物業資料服務","",78.4,78.2,81.5,82.4
"162",4,"為業主與租客提供服務","",26.9,28.7,29.8,30.1
"163",1,"選舉事務","",81.8,268.3,185.7,743.8
"166",1,"政府飛行服務","",312.2,367.3,360.5,583.3
"168",1,"氣象服務","",209.5,222.7,229.9,236.9
"168",2,"輻射監測及評估","",25.6,26.1,27.2,27.2
"168",3,"時間標準及地球物理服務","",10.7,11.0,11.4,11.4
"169",1,"遵守有關截取通訊及監察的法例","",16.9,18.4,18.7,21.5
"170",1,"家庭及兒童福利","受資助機構",1268.7,1382.8,1434.5,1589.2
"170",1,"家庭及兒童福利","政府機構",933.6,960.0,992.8,1039.5
"170",2,"社會保障","受資助機構",0.5,0.6,0.6,0.6
"170",2,"社會保障","政府機構",39363.3,40179.7,40564.3,41130.6
"170",3,"安老服務","受資助機構／私營機構",5085.9,5866.7,5782.3,6452.2
"170",3,"安老服務","政府機構",195.5,211.9,201.8,214.2
"170",4,"康復及醫務社會服務","受資助機構／私營機構",3750.6,4522.2,4515.6,4978.1
"170",4,"康復及醫務社會服務","政府機構",699.8,529.4,531.6,550.7
"170",5,"違法者服務","受資助機構",61.7,63.3,66.9,67.6
"170",5,"違法者服務","政府機構",272.1,284.8,286.2,296.0
"170",6,"社區發展","受資助機構",171.1,165.7,172.8,173.3
"170",6,"社區發展","政府機構",4.5,4.5,4.7,4.7
"170",7,"青少年服務","受資助機構",1799.4,1682.6,1752.1,1779.2
"170",7,"青少年服務","政府機構",52.1,55.3,53.1,73.3
"173",1,"學生資助計劃","",4917.4,5380.6,5016.8,5377.4
"173",2,"低收入在職家庭津貼","",0.0,0.0,5.1,177.9
"174",1,"為以下諮詢委員會提供秘書處服務－ ‧公務員薪俸及服務條件常務委員會 ‧紀律人員薪俸及服務條件常務委員會 ‧首長級薪俸及服務條件常務委員會 ‧司法人員薪俸及服務條件常務委員會 ‧離職公務員就業申請諮詢委員會","",30.3,29.7,31.5,29.2
"180",1,"評定影片級別、管制淫褻及不雅物品和報刊註冊","",39.9,43.8,43.5,45.4
"181",1,"對外貿易關係","",103.1,105.2,110.1,113.9
"181",2,"支援及促進貿易","",124.3,124.7,126.3,123.3
"181",3,"支援中小型企業及工業","",575.7,598.6,581.4,593.9
"186",1,"規劃及發展事宜","",307.2,310.3,332.5,374.5
"186",2,"簽發車輛牌照及駕駛執照","",290.6,327.0,315.7,346.8
"186",3,"區域交通及運輸服務","",412.4,437.0,448.3,489.1
"186",4,"運輸服務管理","",262.8,302.2,269.6,318.3
"186",5,"為殘疾人士提供的運輸服務和長者及合資格殘疾人士公共交通票價優惠計劃","",579.7,686.5,673.5,1005.5
"188",1,"中央會計、收款及付款","",128.6,134.2,130.5,133.2
"188",2,"發放薪金、退休金／撫恤金及福利","",114.2,115.6,118.6,116.9
"188",3,"會計及財務資料系統","",92.5,112.2,113.1,113.5
"188",4,"管理基金","",6.6,7.4,7.4,7.5
"190",1,"大學教育資助委員會","",15656.8,15601.7,16386.3,16988.1
"194",1,"供水：策劃及分配","",6260.7,6483.8,6546.0,6924.6
"194",2,"水質控制","",164.7,165.9,173.0,176.1
"194",3,"客戶服務","",448.1,446.2,456.5,464.1
