"總目","帳目","分目(編號)","分目","項目(編號)","涵蓋的範圍","核准
承擔額
$'000","截至
31.3.2014止
的累積開支
$'000","2014-15
修訂預算開支
$'000","結餘
$'000"
"37","經營帳目","700","一般非經常開支","728","有關中藥材的研究",46600,44113,100,2387
"37","經營帳目","700","一般非經常開支","731","聘用資料輸入服務及採購中藥材樣本以規管香港中醫藥事務",975,853,21,101
"37","非經營帳目","603","機器、車輛及設備","846","為分子生物實驗室購置1套病毒學基因組序列系統",2500,1765,85,650
"37","非經營帳目","603","機器、車輛及設備","847","為學童牙科保健服務購置1套數碼成像技術系統",2100,0,0,2100
"37","非經營帳目","603","機器、車輛及設備","852","為放射衞生部置換全身放射性強度測計系統",2200,1422,0,778
"37","非經營帳目","603","機器、車輛及設備","853","為胸肺科置換X光車(AM5766)",7000,0,375,6625
"37","非經營帳目","603","機器、車輛及設備","854","為胸肺科置換X光車(AM5767)",7000,0,375,6625
"37","非經營帳目","603","機器、車輛及設備","855","為輻射監察服務置換1套熱釋光劑量測量系統",22000,221,0,21779
"37","非經營帳目","603","機器、車輛及設備","856","為放射衞生部置換1套標準輻射劑量計校準設備",15500,0,0,15500
"37","非經營帳目","603","機器、車輛及設備","860","為東區尤德夫人那打素醫院購置1部數碼三維錐束X光機",3430,0,2000,1430
"37","非經營帳目","603","機器、車輛及設備","861","為公共衞生化驗中心置換1台電子顯微鏡",3200,0,0,3200
"37","非經營帳目","603","機器、車輛及設備","862","把柴灣健康評估中心1套傳統的X光機置換為數碼X光系統",9857,0,0,9857
"37","非經營帳目","603","機器、車輛及設備","870","把筲箕灣胸肺科X光部1套傳統X光機置換為數碼X光系統",6500,0,0,6500
"37","非經營帳目","603","機器、車輛及設備","871","把圓洲角胸肺科X光部1套傳統X光機置換為數碼X光系統",6500,0,0,6500
"37","非經營帳目","603","機器、車輛及設備","892","為西營盤賽馬會分科診療所置換4個冷凍水機組",9960,4375,3234,2351
"37","非經營帳目","603","機器、車輛及設備","895","把粉嶺X光診斷中心1套傳統的X光機置換為數碼X光系統",7200,0,0,7200
"39","非經營帳目","603","機器、車輛及設備","832","為河傍街污水泵房更換篩除物夾取器和控制系統連配件",2200,0,1113,1087
"39","非經營帳目","603","機器、車輛及設備","833","為元朗污水處理廠更換1台鼓風機",2500,0,375,2125
"39","非經營帳目","603","機器、車輛及設備","840","為長沙灣污水泵房的2號主泵更換1套損毀的泵殼",2100,0,0,2100
"39","非經營帳目","603","機器、車輛及設備","841","為旺角、土瓜灣、尖沙咀和馬鞍山地區購置1套污水水位感應系統",3600,0,0,3600
"39","非經營帳目","603","機器、車輛及設備","842","為深井污水處理廠更換1套除味系統和相關設備",2500,0,0,2500
"39","非經營帳目","603","機器、車輛及設備","867","為昂船洲污水處理廠的沉澱池更換1套污泥泵",3750,0,277,3473
"39","非經營帳目","603","機器、車輛及設備","869","為白角污水泵房更換1套除味系統並進行相關的管道工程",2150,1217,835,98
"39","非經營帳目","603","機器、車輛及設備","884","為石湖墟污水處理廠脫水房7號和10號壓濾機更換2整套壓濾板連壓濾布",6000,5796,153,51
"44","經營帳目","700","一般非經常開支","810","特惠資助以逐步淘汰歐盟四期以前柴油商業車輛",11444000,10842,3000000,8433158
"44","經營帳目","700","一般非經常開支","823","為專營巴士加裝選擇性催化還原器",400000,0,39000,361000
"44","經營帳目","700","一般非經常開支","831","一次過資助車主為其汽油和石油氣的士和小巴更換催化器和含氧感知器",150000,30711,44000,75289
"44","經營帳目","700","一般非經常開支","840","綠色運輸試驗基金",300000,15910,15708,268382
"44","經營帳目","700","一般非經常開支","841","一次過資助垃圾收集車輛改裝以符合新的設備標準",18800,1888,13500,3412
"44","經營帳目","700","一般非經常開支","842","專營巴士公司試驗混合動力巴士",33000,11550,19250,2200
"44","經營帳目","700","一般非經常開支","850","專營巴士公司試驗電動巴士",180000,70,16750,163180
"44","經營帳目","700","一般非經常開支","875","一次過資助鼓勵車主盡早把歐盟二期柴油商業車輛更換為符合現行法定廢氣排放標準的新車",659400,637426,16000,5974
"44","經營帳目","700","一般非經常開支","880","優化及延展清潔生產伙伴計劃",150000,0,0,150000
"44","經營帳目","700","一般非經常開支","881","為活化已修復堆填區資助計劃項目的營辦者提供資助",40000,0,0,40000
"44","經營帳目","700","一般非經常開支","914","檢討及制訂海水水質指標",9960,9345,105,510
"44","經營帳目","700","一般非經常開支","939","珠江河口水質管理規劃前期研究",10000,9005,209,786
"44","經營帳目","700","一般非經常開支","970","支援后海灣(深圳灣)水污染控制聯合實施方案第二次回顧",9800,3093,1800,4907
"44","經營帳目","700","一般非經常開支","971","改裝50輛私營垃圾收集車的先導計劃",3500,3142,342,16
"44","經營帳目","700","一般非經常開支","983","改善珠三角空氣質素的PM2.5研究",9800,0,1060,8740
"44","非經營帳目","603","機器、車輛及設備","806","採購1部四輪驅動底盤式功率機，以推行一項嚴格管制汽油和石油氣車輛廢氣排放的計劃",7000,0,0,7000
"45","非經營帳目","603","機器、車輛及設備","807","更換1部油壓升降台F055",4900,1978,10,2912
"45","非經營帳目","603","機器、車輛及設備","808","更換1部油壓升降台F056",4900,2002,10,2888
"45","非經營帳目","603","機器、車輛及設備","809","更換1部油壓升降台F057",4900,1929,10,2961
"45","非經營帳目","603","機器、車輛及設備","810","更換1部油壓升降台F058",4900,1921,10,2969
"45","非經營帳目","603","機器、車輛及設備","811","更換1部油壓升降台F059",4900,1966,10,2924
"45","非經營帳目","603","機器、車輛及設備","812","更換1部油壓升降台F100",4900,1920,10,2970
"45","非經營帳目","603","機器、車輛及設備","813","更換1部油壓升降台F476",4900,1977,10,2913
"45","非經營帳目","603","機器、車輛及設備","814","更換1部油壓升降台F480",4900,1977,10,2913
"45","非經營帳目","603","機器、車輛及設備","854","更換1部輕型泵車F155",3210,23,30,3157
"45","非經營帳目","603","機器、車輛及設備","864","更換1部油壓升降台F463",4300,4095,10,195
"45","非經營帳目","603","機器、車輛及設備","865","更換1部油壓升降台F477",4300,4169,10,121
"45","非經營帳目","603","機器、車輛及設備","866","更換1部油壓升降台F479",4300,4081,10,209
"45","非經營帳目","603","機器、車輛及設備","867","更換1部油壓升降台F481",4300,4046,10,244
"45","非經營帳目","603","機器、車輛及設備","868","更換1部油壓升降台F482",4300,4043,10,247
"45","非經營帳目","603","機器、車輛及設備","869","更換1部油壓升降台F051",4300,4048,10,242
"45","非經營帳目","603","機器、車輛及設備","870","更換1部油壓升降台F052",4300,4049,10,241
"45","非經營帳目","603","機器、車輛及設備","871","更換1部油壓升降台F053",4300,4053,10,237
"45","非經營帳目","603","機器、車輛及設備","872","更換1部油壓升降台F054",4300,4097,10,193
"45","非經營帳目","603","機器、車輛及設備","873","更換1部升降台F445",8900,12,80,8808
"45","非經營帳目","603","機器、車輛及設備","876","更換1部輕型泵車F156",3210,23,30,3157
"45","非經營帳目","603","機器、車輛及設備","877","更換1部輕型泵車F157",3210,23,30,3157
"45","非經營帳目","603","機器、車輛及設備","878","更換八號滅火輪",9900,9795,100,5
"45","非經營帳目","603","機器、車輛及設備","879","更換1部輕型泵車F159",3210,23,30,3157
"45","非經營帳目","603","機器、車輛及設備","881","更換1部輕型泵車F160",3210,23,30,3157
"45","非經營帳目","603","機器、車輛及設備","882","更換1部輕型泵車F161",3210,23,30,3157
"45","非經營帳目","603","機器、車輛及設備","883","更換1部輕型泵車F162",3210,23,30,3157
"45","非經營帳目","603","機器、車輛及設備","884","更換1部輕型泵車F163",3210,23,30,3157
"45","非經營帳目","603","機器、車輛及設備","885","更換1部輕型泵車F164",3210,23,30,3157
"45","非經營帳目","603","機器、車輛及設備","886","更換1部輕型泵車F165",3210,23,30,3157
"45","非經營帳目","603","機器、車輛及設備","887","更換1部輕型泵車F167",3210,13,30,3167
"45","非經營帳目","603","機器、車輛及設備","888","更換1部輕型泵車F168",3210,13,30,3167
"45","非經營帳目","603","機器、車輛及設備","889","更換1部輕型泵車F169",3210,13,30,3167
"45","非經營帳目","603","機器、車輛及設備","894","更換1部旋轉台鋼梯車F139",9361,2501,10,6850
"45","非經營帳目","603","機器、車輛及設備","895","更換1部旋轉台鋼梯車F140",9361,2501,10,6850
"45","非經營帳目","603","機器、車輛及設備","896","更換1部旋轉台鋼梯車F141",9361,2501,10,6850
"45","非經營帳目","603","機器、車輛及設備","897","更換1部旋轉台鋼梯車F151",9361,2501,10,6850
"45","非經營帳目","603","機器、車輛及設備","898","更換1部旋轉台鋼梯車F152",9361,2526,10,6825
"45","非經營帳目","603","機器、車輛及設備","899","更換1部旋轉台鋼梯車F153",9361,2526,10,6825
"45","非經營帳目","603","機器、車輛及設備","89Z","更換1部流動指揮車F180",7729,6775,675,279
"45","非經營帳目","603","機器、車輛及設備","8A5","更換1部呼吸器供應車F274",4697,1880,1500,1317
"45","非經營帳目","603","機器、車輛及設備","8A7","購置1部油壓升降台",6876,5162,100,1614
"45","非經營帳目","603","機器、車輛及設備","8A8","購置1部泡車",5731,7,3500,2224
"45","非經營帳目","603","機器、車輛及設備","8A9","更換1部第一截擊車F561",6688,2785,2927,976
"45","非經營帳目","603","機器、車輛及設備","8AA","更換1部流動指揮車F181",8500,4849,2738,913
"45","非經營帳目","603","機器、車輛及設備","8AB","購置1部流動真火訓練車",7968,7942,10,16
"45","非經營帳目","603","機器、車輛及設備","8AC","更換1部油壓升降台F051(2)",6876,5006,100,1770
"45","非經營帳目","603","機器、車輛及設備","8AD","更換1部油壓升降台F056(2)",6876,5006,100,1770
"45","非經營帳目","603","機器、車輛及設備","8AE","更換1部油壓升降台F479(2)",6876,5003,100,1773
"45","非經營帳目","603","機器、車輛及設備","8AF","更換1部油壓升降台F100(2)",6521,44,100,6377
"45","非經營帳目","603","機器、車輛及設備","8AG","更換1部油壓升降台F059(2)",6521,44,30,6447
"45","非經營帳目","603","機器、車輛及設備","8AH","更換1部油壓升降台F052(2)",6521,44,30,6447
"45","非經營帳目","603","機器、車輛及設備","8AJ","更換1部油壓升降台F053(2)",6521,44,30,6447
"45","非經營帳目","603","機器、車輛及設備","8AK","更換1部油壓升降台F054(2)",6521,44,30,6447
"45","非經營帳目","603","機器、車輛及設備","8AL","更換1部油壓升降台F055(2)",6521,44,30,6447
"45","非經營帳目","603","機器、車輛及設備","8AM","更換1部油壓升降台F057(2)",6521,44,30,6447
"45","非經營帳目","603","機器、車輛及設備","8AN","更換1部油壓升降台F058(2)",6521,44,30,6447
"45","非經營帳目","603","機器、車輛及設備","8AP","更換1部油壓升降台F463(2)",6521,44,30,6447
"45","非經營帳目","603","機器、車輛及設備","8AQ","更換1部油壓升降台F476(2)",6521,44,30,6447
"45","非經營帳目","603","機器、車輛及設備","8AR","更換1部油壓升降台F477(2)",6521,44,30,6447
"45","非經營帳目","603","機器、車輛及設備","8AS","更換1部油壓升降台F480(2)",6521,44,30,6447
"45","非經營帳目","603","機器、車輛及設備","8AT","更換1部油壓升降台F481(2)",6521,44,30,6447
"45","非經營帳目","603","機器、車輛及設備","8AU","更換1部油壓升降台F482(2)",6521,44,30,6447
"45","非經營帳目","603","機器、車輛及設備","8AV","更換1部油壓升降台F185",6521,0,30,6491
"45","非經營帳目","603","機器、車輛及設備","8AW","更換1部油壓升降台F186",6521,0,30,6491
"45","非經營帳目","603","機器、車輛及設備","8AX","更換1部油壓升降台F187",6521,0,30,6491
"45","非經營帳目","603","機器、車輛及設備","8AY","更換1部油壓升降台F188",6521,0,30,6491
"45","非經營帳目","603","機器、車輛及設備","8AZ","更換1部油壓升降台F189",6521,0,30,6491
"45","非經營帳目","603","機器、車輛及設備","8B0","更換1部油壓升降台F190",6521,0,30,6491
"45","非經營帳目","603","機器、車輛及設備","8B1","更換1部油壓升降台F192",6521,0,30,6491
"45","非經營帳目","603","機器、車輛及設備","8B2","更換1部泵車F235",4006,0,30,3976
"45","非經營帳目","603","機器、車輛及設備","8B3","更換1部泵車F236",4006,0,30,3976
"45","非經營帳目","603","機器、車輛及設備","8B4","更換1部泵車F237",4006,0,30,3976
"45","非經營帳目","603","機器、車輛及設備","8B5","更換1部泵車F238",4006,0,30,3976
"45","非經營帳目","603","機器、車輛及設備","8B6","更換1部泵車F239",4006,0,30,3976
"45","非經營帳目","603","機器、車輛及設備","8B7","更換1部泵車F240",4006,0,30,3976
"45","非經營帳目","603","機器、車輛及設備","8B8","更換1部泵車F241",4006,0,30,3976
"45","非經營帳目","603","機器、車輛及設備","8B9","更換1部潛水裝備供應車F512",3575,788,2278,509
"45","非經營帳目","603","機器、車輛及設備","8BA","更換1部潛水裝備供應車F513",3575,758,2308,509
"45","非經營帳目","603","機器、車輛及設備","8BB","更換1部潛水裝備供應車F514",3575,758,2308,509
"45","非經營帳目","603","機器、車輛及設備","8BC","更換1部潛水裝備供應車F515",3575,758,2308,509
"45","非經營帳目","603","機器、車輛及設備","8BD","更換1部照明車F641",2789,1116,1255,418
"45","非經營帳目","603","機器、車輛及設備","8BE","更換1部照明車F642",2789,1116,1255,418
"45","非經營帳目","603","機器、車輛及設備","8BF","更換1部照明車F643",2789,1116,1255,418
"45","非經營帳目","603","機器、車輛及設備","8BG","更換1部膳食供應車F504",2517,1008,1132,377
"45","非經營帳目","603","機器、車輛及設備","8BH","更換1部膳食供應車F505",2517,1008,1132,377
"45","非經營帳目","603","機器、車輛及設備","8BJ","更換1部輕型泵車F233",3210,0,30,3180
"45","非經營帳目","603","機器、車輛及設備","8BK","更換1部輕型泵車F234",3210,0,30,3180
"45","非經營帳目","603","機器、車輛及設備","8BL","更換1部照明車F284",2789,1116,1255,418
"45","非經營帳目","603","機器、車輛及設備","8BM","更換1部大搶救車F250",2609,71,593,1945
"45","非經營帳目","603","機器、車輛及設備","8BN","更換1部大搶救車F264",2609,53,30,2526
"45","非經營帳目","603","機器、車輛及設備","8BP","更換1部大搶救車F265",2609,53,30,2526
"45","非經營帳目","603","機器、車輛及設備","8BQ","更換1部大搶救車F285",2609,53,30,2526
"45","非經營帳目","603","機器、車輛及設備","8BR","更換1部大搶救車F293",2609,53,30,2526
"45","非經營帳目","603","機器、車輛及設備","8BS","更換1部大搶救車F294",2609,53,30,2526
"45","非經營帳目","603","機器、車輛及設備","8BT","更換1部大搶救車F295",2609,53,30,2526
"45","非經營帳目","603","機器、車輛及設備","8BU","更換1部流動傷者治療車F11",3500,2936,200,364
"45","非經營帳目","603","機器、車輛及設備","8BV","更換1部流動傷者治療車F182",3500,2936,200,364
"45","非經營帳目","603","機器、車輛及設備","8BW","購置1部供藍田消防局使用的油壓升降台",7181,398,30,6753
"45","非經營帳目","603","機器、車輛及設備","8BX","購置1部供油塘消防局使用的泵車",4666,394,30,4242
"45","非經營帳目","603","機器、車輛及設備","8BY","更換七號滅火輪",85000,0,0,85000
"45","非經營帳目","603","機器、車輛及設備","8BZ","更換3部旋轉台鋼梯車F279、F280和F281",39690,0,8930,30760
"45","非經營帳目","603","機器、車輛及設備","8C0","更換1部起重運輸車F21",2145,145,1000,1000
"45","非經營帳目","603","機器、車輛及設備","8C1","更換1部喉車F20",3025,0,30,2995
"45","非經營帳目","603","機器、車輛及設備","8C2","更換1部大搶救車F256",2807,0,30,2777
"45","非經營帳目","603","機器、車輛及設備","8C3","更換1部大搶救車F286",2807,0,30,2777
"45","非經營帳目","603","機器、車輛及設備","8C4","更換1部喉車F781",3025,0,30,2995
"45","非經營帳目","603","機器、車輛及設備","8C5","更換1部喉車F782",3025,0,30,2995
"45","非經營帳目","603","機器、車輛及設備","8C6","更換1部喉車F783",3025,0,30,2995
"45","非經營帳目","603","機器、車輛及設備","8C7","更換1部輕型消防車F2081",2904,0,30,2874
"45","非經營帳目","603","機器、車輛及設備","8C8","更換1部大搶救車F297",2807,0,30,2777
"45","非經營帳目","603","機器、車輛及設備","8C9","更換1部輕型消防車F2082",2904,0,30,2874
"45","非經營帳目","603","機器、車輛及設備","8CA","更換1部喉泡車R13",4836,512,0,4324
"45","非經營帳目","603","機器、車輛及設備","8CB","更換1部喉車F787",3025,0,30,2995
"45","非經營帳目","603","機器、車輛及設備","8CC","更換1部旋轉台鋼梯車F139(2)",9236,0,30,9206
"45","非經營帳目","603","機器、車輛及設備","8CD","更換1部旋轉台鋼梯車F140(2)",9236,0,30,9206
"45","非經營帳目","603","機器、車輛及設備","8CE","更換1部旋轉台鋼梯車F141(2)",9236,0,30,9206
"45","非經營帳目","603","機器、車輛及設備","8CF","更換1部旋轉台鋼梯車F151(2)",9236,0,30,9206
"45","非經營帳目","603","機器、車輛及設備","8CG","更換1部旋轉台鋼梯車F152(2)",9236,0,30,9206
"45","非經營帳目","603","機器、車輛及設備","8CH","更換1部旋轉台鋼梯車F153(2)",9236,0,30,9206
"45","非經營帳目","603","機器、車輛及設備","8CJ","更換1部第一截擊車F562",8688,2604,4563,1521
"45","非經營帳目","603","機器、車輛及設備","8CK","更換1部大型泡車F276",8482,0,30,8452
"45","非經營帳目","603","機器、車輛及設備","8CL","更換1部流動指揮車F661",8580,860,2250,5470
"45","非經營帳目","603","機器、車輛及設備","8CM","更換1部流動指揮車F662",8580,860,2250,5470
"45","非經營帳目","603","機器、車輛及設備","8CN","更換1部快速截擊車R11",9252,732,0,8520
"45","非經營帳目","603","機器、車輛及設備","8CP","更換1部快速截擊車R31",9252,732,0,8520
"45","非經營帳目","603","機器、車輛及設備","8CQ","更換潛水支援快艇2號",8000,0,0,8000
"45","非經營帳目","603","機器、車輛及設備","8CR","更換潛水支援快艇3號",8000,0,0,8000
"45","非經營帳目","603","機器、車輛及設備","8CS","購置1部供順利消防局使用的旋轉台鋼梯車",9786,0,30,9756
"45","非經營帳目","603","機器、車輛及設備","8CT","更換1部無積升降台R14",10651,803,0,9848
"45","非經營帳目","603","機器、車輛及設備","8CU","更換3部旋轉台鋼梯車F15、F282和F283，以及購置1部供尖東消防局使用的旋轉台鋼梯車",53334,0,30,53304
"45","非經營帳目","603","機器、車輛及設備","8CV","更換1部大搶救車F287",2807,0,30,2777
"45","非經營帳目","603","機器、車輛及設備","8CW","更換1部大搶救車F288",2807,0,30,2777
"45","非經營帳目","603","機器、車輛及設備","8CX","更換1部大搶救車F290",2807,0,30,2777
"45","非經營帳目","603","機器、車輛及設備","8CY","更換1部大搶救車F292",2807,0,30,2777
"45","非經營帳目","603","機器、車輛及設備","8CZ","更換1部細搶救車F245",2178,0,30,2148
"45","非經營帳目","603","機器、車輛及設備","8D0","更換1部細搶救車F246",2178,0,30,2148
"45","非經營帳目","603","機器、車輛及設備","8D1","更換1部細搶救車F247",2178,0,30,2148
"45","非經營帳目","603","機器、車輛及設備","8D2","更換1部照明車F644",3300,0,887,2413
"45","非經營帳目","603","機器、車輛及設備","8D3","更換1部照明車F645",3300,0,887,2413
"45","非經營帳目","603","機器、車輛及設備","8D4","更換1部照明車F646",3300,0,887,2413
"45","非經營帳目","603","機器、車輛及設備","8D5","更換1部喉車F784",3025,0,30,2995
"45","非經營帳目","603","機器、車輛及設備","8D6","更換1部喉車F785",3025,0,30,2995
"45","非經營帳目","603","機器、車輛及設備","8D7","更換1部喉車F786",3025,0,30,2995
"45","非經營帳目","603","機器、車輛及設備","8D8","更換1部喉車F788",3025,0,30,2995
"45","非經營帳目","603","機器、車輛及設備","8D9","更換1部喉車F789",3025,0,30,2995
"45","非經營帳目","603","機器、車輛及設備","8DA","更換1部喉車F790",3025,0,30,2995
"45","非經營帳目","603","機器、車輛及設備","8DB","更換1部膳食供應車F506",2324,0,625,1699
"45","非經營帳目","603","機器、車輛及設備","8DC","更換1部油壓升降台F267",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DD","更換1部油壓升降台F268",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DE","更換1部油壓升降台F269",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DF","更換1部油壓升降台F270",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DG","更換1部油壓升降台F271",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DH","更換1部油壓升降台F272",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DJ","更換1部油壓升降台F273",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DK","更換1部油壓升降台F300",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DL","更換1部油壓升降台F301",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DM","更換1部油壓升降台F302",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DN","更換1部油壓升降台F303",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DP","更換1部油壓升降台F304",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DQ","更換1部油壓升降台F305",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DR","更換1部油壓升降台F346",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DS","更換1部油壓升降台F347",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DT","更換1部油壓升降台F348",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8DU","更換1部後備重型泵車F19",5939,0,30,5909
"45","非經營帳目","603","機器、車輛及設備","8DV","更換1部後備重型泵車F691",5939,0,30,5909
"45","非經營帳目","603","機器、車輛及設備","8DW","更換1部後備重型泵車F692",5939,0,30,5909
"45","非經營帳目","603","機器、車輛及設備","8DX","更換1部後備重型泵車F693",5939,0,30,5909
"45","非經營帳目","603","機器、車輛及設備","8DY","更換1部後備重型泵車F694",5939,0,30,5909
"45","非經營帳目","603","機器、車輛及設備","8DZ","更換1部後備重型泵車F695",5939,0,30,5909
"45","非經營帳目","603","機器、車輛及設備","8E0","更換1部後備重型泵車F696",5939,0,30,5909
"45","非經營帳目","603","機器、車輛及設備","8E1","更換1部後備重型泵車F697",5939,0,30,5909
"45","非經營帳目","603","機器、車輛及設備","8E2","更換1部後備重型泵車F698",5939,0,30,5909
"45","非經營帳目","603","機器、車輛及設備","8E3","更換1部危害物質處理車F275",5445,0,30,5415
"45","非經營帳目","603","機器、車輛及設備","8E4","購置1部供八鄉消防局使用的泵車",5171,0,30,5141
"45","非經營帳目","603","機器、車輛及設備","8E5","更換1部油壓升降台F266",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8E6","更換1部油壓升降台F23",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8E7","更換1部油壓升降台F24",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8E8","更換1部油壓升降台F25",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8E9","更換1部油壓升降台F26",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8EA","更換1部油壓升降台F27",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8EB","更換1部油壓升降台F28",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8EC","更換1部油壓升降台F29",6278,0,30,6248
